Wall R-Value,Roof R-Value,Window R-Value,SOG R-Value,Floors R-Value,LPD Reduction,Fan W/CFM,ERV Eff,HVAC,Energy Savings %,EUI (kWh/m2),Carbon Savings %,Carbon Intensity (kg/m2),Electric Peak kW,CMHC MLI,Cost Premium $
10,30,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,13,190,5,72,159,No Point," 2,334,425 "
10,30,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,13,190,5,72,162,No Point," 2,333,825 "
10,30,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,13,190,5,72,162,No Point," 2,333,825 "
10,30,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,13,190,5,72,159,No Point," 2,334,425 "
10,30,3,"R10,4ft",20,0.4,1,0.75,Boiler,14,190,6,72,163,No Point," 2,334,625 "
10,30,3,"R10,4ft",20,0.25,1,0.75,Boiler,14,190,6,72,166,No Point," 2,334,025 "
10,40,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,14,187,6,72,161,No Point," 2,736,032 "
10,40,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,14,187,6,72,159,No Point," 2,736,632 "
10,40,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,14,187,6,72,159,No Point," 2,736,632 "
10,40,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,14,187,6,72,161,No Point," 2,736,032 "
10,30,3,"R10,4ft",30,0.25,1,0.75,Boiler,14,190,6,72,166,No Point," 2,334,025 "
10,30,3,"R10,4ft",30,0.4,1,0.75,Boiler,14,190,6,72,163,No Point," 2,334,625 "
10,30,3,"R10,4ft",20,0.4,0.75,0.8,Boiler,14,186,6,71,159,No Point," 2,506,425 "
10,30,3,"R10,4ft",30,0.4,0.75,0.8,Boiler,14,186,6,71,159,No Point," 2,506,425 "
10,50,3,"R10,4ft",20,0.4,1,0.75,Boiler,15,186,7,71,163,No Point," 3,139,039 "
10,40,3,"R10,4ft",20,0.4,1,0.75,Boiler,15,188,6,71,163,No Point," 2,736,832 "
10,30,3,"R10,US",30,0.25,0.75,0.75,Boiler,15,184,7,71,162,No Point," 2,333,825 "
10,40,3,"R10,4ft",30,0.25,1,0.75,Boiler,15,188,6,71,165,No Point," 2,736,232 "
10,50,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,15,186,6,71,161,No Point," 3,138,239 "
15,30,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,15,184,7,71,158,No Point," 2,650,977 "
10,30,3,"R10,US",20,0.25,0.75,0.75,Boiler,15,184,7,71,162,No Point," 2,333,825 "
10,40,3,"R10,4ft",20,0.25,1,0.75,Boiler,15,188,6,71,165,No Point," 2,736,232 "
10,50,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,15,186,6,71,159,No Point," 3,138,839 "
10,50,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,15,186,6,71,161,No Point," 3,138,239 "
10,40,3,"R10,4ft",30,0.4,1,0.75,Boiler,15,188,6,71,163,No Point," 2,736,832 "
10,30,3,"R10,US",20,0.4,0.75,0.75,Boiler,15,184,7,71,159,No Point," 2,334,425 "
15,30,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,15,184,7,71,158,No Point," 2,650,977 "
10,50,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,15,186,6,71,159,No Point," 3,138,839 "
10,30,3,"R10,US",30,0.4,0.75,0.75,Boiler,15,184,7,71,159,No Point," 2,334,425 "
10,50,3,"R10,4ft",30,0.4,1,0.75,Boiler,15,186,7,71,163,No Point," 3,139,039 "
10,30,3,"R10,4ft",30,0.4,1,0.8,Boiler,15,186,7,71,163,No Point," 2,506,625 "
10,30,3,"R10,4ft",30,0.25,0.75,0.8,Boiler,15,186,6,71,162,No Point," 2,505,825 "
10,30,3,"R10,4ft",20,0.4,1,0.8,Boiler,15,186,7,71,163,No Point," 2,506,625 "
10,30,3,"R10,4ft",20,0.25,0.75,0.8,Boiler,15,186,6,71,162,No Point," 2,505,825 "
15,30,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,16,184,7,71,161,No Point," 2,650,377 "
10,30,3,"R10,US",30,0.25,1,0.75,Boiler,16,184,7,71,166,No Point," 2,334,025 "
10,30,3,"R10,US",30,0.4,1,0.75,Boiler,16,184,7,71,163,No Point," 2,334,625 "
10,30,4.7,"R10,4ft",20,0.25,0.75,0.75,Boiler,16,182,7,71,161,No Point," 2,465,575 "
10,30,3,"R10,US",20,0.25,1,0.75,Boiler,16,184,7,71,166,No Point," 2,334,025 "
10,40,3,"R10,US",20,0.25,0.75,0.75,Boiler,16,181,7,71,161,No Point," 2,736,032 "
10,30,4.7,"R10,4ft",30,0.25,0.75,0.75,Boiler,16,182,7,71,161,No Point," 2,465,575 "
10,30,4.7,"R10,4ft",20,0.4,0.75,0.75,Boiler,16,182,7,71,158,No Point," 2,466,175 "
10,50,3,"R10,4ft",30,0.25,1,0.75,Boiler,16,186,7,71,165,No Point," 3,138,439 "
10,40,3,"R10,US",30,0.25,0.75,0.75,Boiler,16,181,7,71,161,No Point," 2,736,032 "
15,30,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,16,184,7,71,161,No Point," 2,650,377 "
10,40,3,"R10,US",30,0.4,0.75,0.75,Boiler,16,181,7,71,159,No Point," 2,736,632 "
15,30,3,"R10,4ft",20,0.4,1,0.75,Boiler,16,184,7,71,162,No Point," 2,651,177 "
10,40,3,"R10,US",20,0.4,0.75,0.75,Boiler,16,181,7,71,159,No Point," 2,736,632 "
10,50,3,"R10,4ft",20,0.25,1,0.75,Boiler,16,186,7,71,165,No Point," 3,138,439 "
10,30,3,"R10,US",20,0.4,1,0.75,Boiler,16,184,7,71,163,No Point," 2,334,625 "
15,30,3,"R10,4ft",30,0.4,1,0.75,Boiler,16,184,7,71,162,No Point," 2,651,177 "
10,30,4.7,"R10,4ft",30,0.4,0.75,0.75,Boiler,16,182,7,71,158,No Point," 2,466,175 "
10,50,3,"R10,4ft",30,0.25,0.75,0.8,Boiler,16,182,7,71,161,No Point," 3,310,239 "
10,40,3,"R10,4ft",20,0.4,1,0.8,Boiler,16,184,7,71,163,No Point," 2,908,832 "
10,50,3,"R10,4ft",20,0.4,0.75,0.8,Boiler,16,182,7,71,159,No Point," 3,310,839 "
10,40,3,"R10,4ft",30,0.4,0.75,0.8,Boiler,16,183,7,71,159,No Point," 2,908,632 "
10,30,3,"R10,4ft",20,0.25,1,0.8,Boiler,16,187,7,71,166,No Point," 2,506,025 "
10,40,3,"R10,4ft",30,0.4,1,0.8,Boiler,16,184,7,71,163,No Point," 2,908,832 "
10,50,3,"R10,4ft",30,0.4,0.75,0.8,Boiler,16,182,7,71,159,No Point," 3,310,839 "
10,50,3,"R10,4ft",20,0.25,0.75,0.8,Boiler,16,182,7,71,161,No Point," 3,310,239 "
10,40,3,"R10,4ft",20,0.25,0.75,0.8,Boiler,16,184,7,71,161,No Point," 2,908,032 "
10,40,3,"R10,4ft",20,0.4,0.75,0.8,Boiler,16,183,7,71,159,No Point," 2,908,632 "
10,40,3,"R10,4ft",30,0.25,0.75,0.8,Boiler,16,184,7,71,161,No Point," 2,908,032 "
10,30,3,"R10,4ft",30,0.25,1,0.8,Boiler,16,187,7,71,166,No Point," 2,506,025 "
15,40,3,"R10,4ft",30,0.4,1,0.75,Boiler,17,181,8,70,162,No Point," 3,053,384 "
20,30,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,17,180,8,70,161,No Point," 2,966,929 "
15,40,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,17,181,7,71,158,No Point," 3,053,184 "
10,40,4.7,"R10,4ft",20,0.4,0.75,0.75,Boiler,17,179,8,70,158,No Point," 2,868,382 "
15,50,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,17,180,8,70,161,No Point," 3,454,791 "
10,30,4.7,"R10,4ft",30,0.4,1,0.75,Boiler,17,182,8,70,162,No Point," 2,466,375 "
20,30,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,17,180,8,70,158,No Point," 2,967,529 "
10,40,3,"R10,US",20,0.4,1,0.75,Boiler,17,182,8,70,163,No Point," 2,736,832 "
15,40,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,17,181,7,71,158,No Point," 3,053,184 "
10,40,3,"R10,US",30,0.4,1,0.75,Boiler,17,182,8,70,163,No Point," 2,736,832 "
20,30,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,17,180,8,70,158,No Point," 2,967,529 "
15,40,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,17,181,7,70,161,No Point," 3,052,584 "
10,40,4.7,"R10,4ft",30,0.4,0.75,0.75,Boiler,17,179,8,70,158,No Point," 2,868,382 "
15,50,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,17,180,8,70,158,No Point," 3,455,391 "
15,30,3,"R10,4ft",20,0.25,1,0.75,Boiler,17,184,7,71,165,No Point," 2,650,577 "
15,50,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,17,180,8,70,158,No Point," 3,455,391 "
10,50,3,"R10,US",20,0.25,0.75,0.75,Boiler,17,180,8,70,161,No Point," 3,138,239 "
10,30,4.7,"R10,4ft",20,0.25,1,0.75,Boiler,17,182,8,70,165,No Point," 2,465,775 "
15,40,3,"R10,4ft",20,0.4,1,0.75,Boiler,17,181,8,70,162,No Point," 3,053,384 "
10,40,3,"R10,US",20,0.25,1,0.75,Boiler,17,182,8,70,165,No Point," 2,736,232 "
20,30,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,17,180,8,70,161,No Point," 2,966,929 "
15,40,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,17,181,7,70,161,No Point," 3,052,584 "
10,30,4.7,"R10,4ft",20,0.4,1,0.75,Boiler,17,182,8,70,162,No Point," 2,466,375 "
10,50,3,"R10,US",20,0.4,0.75,0.75,Boiler,17,180,8,70,159,No Point," 3,138,839 "
15,30,3,"R10,4ft",30,0.25,1,0.75,Boiler,17,184,7,71,165,No Point," 2,650,577 "
10,40,3,"R10,US",30,0.25,1,0.75,Boiler,17,182,8,70,165,No Point," 2,736,232 "
15,50,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,17,180,8,70,161,No Point," 3,454,791 "
10,50,3,"R10,US",30,0.25,0.75,0.75,Boiler,17,180,8,70,161,No Point," 3,138,239 "
10,30,4.7,"R10,4ft",30,0.25,1,0.75,Boiler,17,182,8,70,165,No Point," 2,465,775 "
10,50,3,"R10,US",30,0.4,0.75,0.75,Boiler,17,180,8,70,159,No Point," 3,138,839 "
10,50,3,"R10,4ft",30,0.4,1,0.8,Boiler,17,182,8,70,163,No Point," 3,311,039 "
10,50,3,"R10,4ft",20,0.25,1,0.8,Boiler,17,182,8,70,165,No Point," 3,310,439 "
10,40,3,"R10,4ft",30,0.25,1,0.8,Boiler,17,184,7,70,165,No Point," 2,908,232 "
15,30,3,"R10,4ft",20,0.4,0.75,0.8,Boiler,17,180,8,70,158,No Point," 2,822,977 "
10,30,3,"R10,US",30,0.4,0.75,0.8,Boiler,17,180,8,70,159,No Point," 2,506,425 "
15,30,3,"R10,4ft",20,0.25,0.75,0.8,Boiler,17,180,8,70,161,No Point," 2,822,377 "
10,50,3,"R10,4ft",30,0.25,1,0.8,Boiler,17,182,8,70,165,No Point," 3,310,439 "
10,50,3,"R10,4ft",20,0.4,1,0.8,Boiler,17,182,8,70,163,No Point," 3,311,039 "
15,30,3,"R10,4ft",30,0.4,0.75,0.8,Boiler,17,180,8,70,158,No Point," 2,822,977 "
10,40,3,"R10,4ft",20,0.25,1,0.8,Boiler,17,184,7,70,165,No Point," 2,908,232 "
15,30,3,"R10,4ft",30,0.25,0.75,0.8,Boiler,17,180,8,70,161,No Point," 2,822,377 "
10,30,3,"R10,US",30,0.25,0.75,0.8,Boiler,17,180,8,70,162,No Point," 2,505,825 "
10,30,3,"R10,US",20,0.25,0.75,0.8,Boiler,17,180,8,70,162,No Point," 2,505,825 "
10,30,3,"R10,US",20,0.4,0.75,0.8,Boiler,17,180,8,70,159,No Point," 2,506,425 "
10,30,3,"R10,4ft",30,0.25,0.75,,Boiler,17,180,8,70,162,No Point," 2,333,825 "
10,30,3,"R10,4ft",20,0.25,0.75,,Boiler,17,180,8,70,162,No Point," 2,333,825 "
10,30,3,"R10,4ft",30,0.4,0.75,,Boiler,17,180,8,70,159,No Point," 2,334,425 "
10,30,3,"R10,4ft",20,0.4,0.75,,Boiler,17,180,8,70,159,No Point," 2,334,425 "
10,50,3,"R10,US",20,0.4,1,0.75,Boiler,18,180,8,70,163,No Point," 3,139,039 "
10,40,4.7,"R10,4ft",20,0.25,0.75,0.75,Boiler,18,179,8,70,161,No Point," 2,867,782 "
25,30,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,18,178,8,70,158,No Point," 3,284,080 "
15,30,3,"R10,US",30,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 2,650,377 "
30,30,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,18,176,8,70,158,No Point," 3,600,632 "
15,50,3,"R10,4ft",30,0.4,1,0.75,Boiler,18,180,8,70,162,No Point," 3,455,591 "
20,40,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 3,369,135 "
10,40,4.7,"R10,4ft",30,0.25,1,0.75,Boiler,18,180,8,70,165,No Point," 2,867,982 "
10,50,3,"R10,US",20,0.25,1,0.75,Boiler,18,180,8,70,165,No Point," 3,138,439 "
10,40,4.7,"R10,4ft",30,0.25,0.75,0.75,Boiler,18,179,8,70,161,No Point," 2,867,782 "
20,30,3,"R10,4ft",30,0.4,1,0.75,Boiler,18,181,8,70,162,No Point," 2,967,729 "
20,40,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 3,369,135 "
15,50,3,"R10,4ft",20,0.4,1,0.75,Boiler,18,180,8,70,162,No Point," 3,455,591 "
10,50,4.7,"R10,4ft",30,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 3,269,989 "
25,30,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 3,283,480 "
20,30,3,"R10,4ft",30,0.25,1,0.75,Boiler,18,181,8,70,165,No Point," 2,967,129 "
15,50,3,"R10,4ft",20,0.25,1,0.75,Boiler,18,180,8,70,165,No Point," 3,454,991 "
10,40,4.7,"R10,4ft",30,0.4,1,0.75,Boiler,18,179,8,70,162,No Point," 2,868,582 "
20,40,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,18,178,8,70,158,No Point," 3,369,735 "
10,50,4.7,"R10,4ft",20,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 3,269,989 "
10,30,6.3,"R10,4ft",30,0.4,0.75,0.75,Boiler,18,178,8,70,158,No Point," 2,590,175 "
30,30,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,18,176,8,70,158,No Point," 3,600,632 "
20,30,3,"R10,4ft",20,0.4,1,0.75,Boiler,18,181,8,70,162,No Point," 2,967,729 "
15,30,3,"R10,US",20,0.4,0.75,0.75,Boiler,18,177,8,70,158,No Point," 2,650,977 "
10,50,4.7,"R10,4ft",20,0.4,0.75,0.75,Boiler,18,177,8,70,158,No Point," 3,270,589 "
25,30,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,18,178,8,70,158,No Point," 3,284,080 "
10,50,3,"R10,US",30,0.25,1,0.75,Boiler,18,180,8,70,165,No Point," 3,138,439 "
25,30,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 3,283,480 "
10,40,4.7,"R10,4ft",20,0.4,1,0.75,Boiler,18,179,8,70,162,No Point," 2,868,582 "
10,50,4.7,"R10,4ft",30,0.4,0.75,0.75,Boiler,18,177,8,70,158,No Point," 3,270,589 "
10,40,4.7,"R10,4ft",20,0.25,1,0.75,Boiler,18,180,8,70,165,No Point," 2,867,982 "
10,30,6.3,"R10,4ft",30,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 2,589,575 "
10,30,6.3,"R10,4ft",20,0.4,0.75,0.75,Boiler,18,178,8,70,158,No Point," 2,590,175 "
10,50,3,"R10,US",30,0.4,1,0.75,Boiler,18,180,8,70,163,No Point," 3,139,039 "
10,30,6.3,"R10,4ft",20,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 2,589,575 "
20,40,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,18,178,8,70,158,No Point," 3,369,735 "
15,30,3,"R10,US",30,0.4,0.75,0.75,Boiler,18,177,8,70,158,No Point," 2,650,977 "
15,40,3,"R10,4ft",20,0.25,1,0.75,Boiler,18,182,8,70,165,No Point," 3,052,784 "
15,50,3,"R10,4ft",30,0.25,1,0.75,Boiler,18,180,8,70,165,No Point," 3,454,991 "
15,40,3,"R10,4ft",30,0.25,1,0.75,Boiler,18,182,8,70,165,No Point," 3,052,784 "
15,30,3,"R10,US",20,0.25,0.75,0.75,Boiler,18,178,8,70,161,No Point," 2,650,377 "
20,30,3,"R10,4ft",20,0.25,1,0.75,Boiler,18,181,8,70,165,No Point," 2,967,129 "
10,30,3,"R10,US",20,0.4,1,0.8,Boiler,18,181,8,70,163,No Point," 2,506,625 "
10,40,3,"R10,US",20,0.4,0.75,0.8,Boiler,18,177,8,70,159,No Point," 2,908,632 "
15,40,3,"R10,4ft",20,0.4,0.75,0.8,Boiler,18,177,8,70,158,No Point," 3,225,184 "
10,30,4.7,"R10,4ft",20,0.4,0.75,0.8,Boiler,18,178,8,70,158,No Point," 2,638,175 "
15,30,3,"R10,4ft",20,0.4,1,0.8,Boiler,18,180,8,70,162,No Point," 2,823,177 "
15,40,3,"R10,4ft",30,0.25,0.75,0.8,Boiler,18,177,8,70,161,No Point," 3,224,584 "
15,30,3,"R10,4ft",30,0.4,1,0.8,Boiler,18,180,8,70,162,No Point," 2,823,177 "
10,30,3,"R10,US",30,0.4,1,0.8,Boiler,18,181,8,70,163,No Point," 2,506,625 "
15,40,3,"R10,4ft",20,0.25,0.75,0.8,Boiler,18,177,8,70,161,No Point," 3,224,584 "
10,40,3,"R10,US",30,0.25,0.75,0.8,Boiler,18,177,8,70,161,No Point," 2,908,032 "
10,30,4.7,"R10,4ft",30,0.4,0.75,0.8,Boiler,18,178,8,70,158,No Point," 2,638,175 "
10,30,4.7,"R10,4ft",30,0.25,0.75,0.8,Boiler,18,178,8,70,161,No Point," 2,637,575 "
15,30,3,"R10,4ft",30,0.25,1,0.8,Boiler,18,180,8,70,165,No Point," 2,822,577 "
10,30,3,"R10,US",20,0.25,1,0.8,Boiler,18,181,8,70,166,No Point," 2,506,025 "
10,30,4.7,"R10,4ft",20,0.25,0.75,0.8,Boiler,18,178,8,70,161,No Point," 2,637,575 "
10,30,3,"R10,US",30,0.25,1,0.8,Boiler,18,181,8,70,166,No Point," 2,506,025 "
15,30,3,"R10,4ft",20,0.25,1,0.8,Boiler,18,180,8,70,165,No Point," 2,822,577 "
10,40,3,"R10,US",30,0.4,0.75,0.8,Boiler,18,177,8,70,159,No Point," 2,908,632 "
15,40,3,"R10,4ft",30,0.4,0.75,0.8,Boiler,18,177,8,70,158,No Point," 3,225,184 "
10,40,3,"R10,US",20,0.25,0.75,0.8,Boiler,18,177,8,70,161,No Point," 2,908,032 "
10,30,3,"R10,4ft",20,0.25,1,,Boiler,18,181,8,70,166,No Point," 2,334,025 "
10,30,3,"R10,4ft",30,0.25,1,,Boiler,18,181,8,70,166,No Point," 2,334,025 "
10,30,3,"R10,4ft",20,0.4,1,,Boiler,18,180,8,70,163,No Point," 2,334,625 "
10,40,3,"R10,4ft",20,0.4,0.75,,Boiler,18,177,8,70,159,No Point," 2,736,632 "
10,40,3,"R10,4ft",30,0.25,0.75,,Boiler,18,177,8,70,161,No Point," 2,736,032 "
10,40,3,"R10,4ft",30,0.4,0.75,,Boiler,18,177,8,70,159,No Point," 2,736,632 "
10,30,3,"R10,4ft",30,0.4,1,,Boiler,18,180,8,70,163,No Point," 2,334,625 "
10,40,3,"R10,4ft",20,0.25,0.75,,Boiler,18,177,8,70,161,No Point," 2,736,032 "
10,30,3,"R10,4ft",20,0.4,0.75,0.75,Heat Pump,18,114,6,58,278,No Point," 2,724,424 "
10,30,3,"R10,4ft",30,0.25,0.75,0.75,Heat Pump,18,114,6,58,284,No Point," 2,723,824 "
10,30,3,"R10,4ft",20,0.25,0.75,0.75,Heat Pump,18,114,6,58,284,No Point," 2,723,824 "
10,30,3,"R10,4ft",30,0.4,0.75,0.75,Heat Pump,18,114,6,58,278,No Point," 2,724,424 "
25,40,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,19,175,9,70,161,No Point," 3,685,687 "
10,30,4.7,"R10,US",20,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 2,465,575 "
20,40,3,"R10,4ft",30,0.25,1,0.75,Boiler,19,178,9,69,165,No Point," 3,369,335 "
10,50,6.3,"R10,4ft",30,0.4,0.75,0.75,Boiler,19,174,9,69,158,No Point," 3,394,589 "
10,50,4.7,"R10,4ft",30,0.25,1,0.75,Boiler,19,178,9,69,165,No Point," 3,270,189 "
20,50,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,19,176,8,70,158,No Point," 3,771,942 "
10,50,4.7,"R10,4ft",20,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 3,270,789 "
20,30,3,"R10,US",20,0.4,0.75,0.75,Boiler,19,174,9,69,158,No Point," 2,967,529 "
15,40,3,"R10,US",20,0.25,0.75,0.75,Boiler,19,175,9,69,161,No Point," 3,052,584 "
25,30,3,"R10,4ft",20,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 3,284,280 "
10,30,6.3,"R10,4ft",20,0.25,1,0.75,Boiler,19,179,8,70,165,No Point," 2,589,775 "
20,50,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 3,771,342 "
10,40,6.3,"R10,4ft",30,0.4,0.75,0.75,Boiler,19,176,8,70,158,No Point," 2,992,382 "
15,30,4.7,"R10,4ft",30,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 2,782,127 "
15,30,4.7,"R10,4ft",20,0.4,0.75,0.75,Boiler,19,175,9,70,158,No Point," 2,782,727 "
10,30,6.3,"R10,4ft",30,0.25,1,0.75,Boiler,19,179,8,70,165,No Point," 2,589,775 "
10,50,4.7,"R10,4ft",30,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 3,270,789 "
30,30,3,"R10,4ft",20,0.4,1,0.75,Boiler,19,177,9,69,162,No Point," 3,600,832 "
10,30,4.7,"R10,US",30,0.4,0.75,0.75,Boiler,19,176,8,70,158,No Point," 2,466,175 "
25,40,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,19,175,9,70,158,No Point," 3,686,287 "
20,40,3,"R10,4ft",20,0.25,1,0.75,Boiler,19,178,9,69,165,No Point," 3,369,335 "
15,40,3,"R10,US",30,0.4,0.75,0.75,Boiler,19,175,9,70,158,No Point," 3,053,184 "
20,50,3,"R10,4ft",20,0.4,0.75,0.75,Boiler,19,176,8,70,158,No Point," 3,771,942 "
10,40,6.3,"R10,4ft",20,0.4,0.75,0.75,Boiler,19,176,8,70,158,No Point," 2,992,382 "
10,50,4.7,"R10,4ft",20,0.25,1,0.75,Boiler,19,178,9,69,165,No Point," 3,270,189 "
20,40,3,"R10,4ft",30,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 3,369,935 "
10,30,6.3,"R10,4ft",30,0.4,1,0.75,Boiler,19,179,8,70,162,No Point," 2,590,375 "
20,40,3,"R10,4ft",20,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 3,369,935 "
30,30,3,"R10,4ft",30,0.4,1,0.75,Boiler,19,177,9,69,162,No Point," 3,600,832 "
30,30,3,"R10,4ft",30,0.25,0.75,0.75,Boiler,19,176,8,70,161,No Point," 3,600,032 "
25,30,3,"R10,4ft",30,0.25,1,0.75,Boiler,19,178,9,70,165,No Point," 3,283,680 "
25,30,3,"R10,4ft",30,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 3,284,280 "
15,30,3,"R10,US",20,0.25,1,0.75,Boiler,19,178,9,70,165,No Point," 2,650,577 "
10,30,4.7,"R10,US",30,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 2,465,575 "
20,30,3,"R10,US",30,0.4,0.75,0.75,Boiler,19,174,9,69,158,No Point," 2,967,529 "
10,30,6.3,"R10,4ft",20,0.4,1,0.75,Boiler,19,179,8,70,162,No Point," 2,590,375 "
10,40,6.3,"R10,4ft",20,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 2,991,782 "
15,30,4.7,"R10,4ft",20,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 2,782,127 "
15,30,3,"R10,US",30,0.25,1,0.75,Boiler,19,178,9,70,165,No Point," 2,650,577 "
15,40,3,"R10,US",30,0.25,0.75,0.75,Boiler,19,175,9,69,161,No Point," 3,052,584 "
10,50,6.3,"R10,4ft",20,0.4,0.75,0.75,Boiler,19,174,9,69,158,No Point," 3,394,589 "
10,30,4.7,"R10,US",20,0.4,0.75,0.75,Boiler,19,176,8,70,158,No Point," 2,466,175 "
25,40,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,19,175,9,70,161,No Point," 3,685,687 "
10,40,6.3,"R10,4ft",30,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 2,991,782 "
30,30,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,19,176,8,70,161,No Point," 3,600,032 "
15,30,4.7,"R10,4ft",30,0.4,0.75,0.75,Boiler,19,175,9,70,158,No Point," 2,782,727 "
15,30,3,"R10,US",30,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 2,651,177 "
15,40,3,"R10,US",20,0.4,0.75,0.75,Boiler,19,175,9,70,158,No Point," 3,053,184 "
20,50,3,"R10,4ft",20,0.25,0.75,0.75,Boiler,19,176,9,70,161,No Point," 3,771,342 "
25,40,3,"R10,4ft",30,0.4,0.75,0.75,Boiler,19,175,9,70,158,No Point," 3,686,287 "
15,30,3,"R10,US",20,0.4,1,0.75,Boiler,19,178,9,70,162,No Point," 2,651,177 "
25,30,3,"R10,4ft",20,0.25,1,0.75,Boiler,19,178,9,70,165,No Point," 3,283,680 "
10,40,3,"R10,US",30,0.4,1,0.8,Boiler,19,178,9,70,163,No Point," 2,908,832 "
20,30,3,"R10,4ft",30,0.4,1,0.8,Boiler,19,177,9,69,162,No Point," 3,139,729 "
15,40,3,"R10,4ft",20,0.25,1,0.8,Boiler,19,178,9,69,165,No Point," 3,224,784 "
10,50,3,"R10,US",30,0.4,0.75,0.8,Boiler,19,176,8,70,159,No Point," 3,310,839 "
20,30,3,"R10,4ft",30,0.25,0.75,0.8,Boiler,19,176,8,70,161,No Point," 3,138,929 "
10,30,4.7,"R10,4ft",20,0.25,1,0.8,Boiler,19,178,9,70,165,No Point," 2,637,775 "
20,30,3,"R10,4ft",30,0.4,0.75,0.8,Boiler,19,176,8,70,158,No Point," 3,139,529 "
15,40,3,"R10,4ft",30,0.4,1,0.8,Boiler,19,178,9,69,162,No Point," 3,225,384 "
10,30,4.7,"R10,4ft",30,0.25,1,0.8,Boiler,19,178,9,70,165,No Point," 2,637,775 "
20,30,3,"R10,4ft",20,0.4,0.75,0.8,Boiler,19,176,8,70,158,No Point," 3,139,529 "
10,50,3,"R10,US",20,0.25,0.75,0.8,Boiler,19,176,9,70,161,No Point," 3,310,239 "
10,50,3,"R10,US",20,0.4,0.75,0.8,Boiler,19,176,8,70,159,No Point," 3,310,839 "
10,40,3,"R10,US",20,0.4,1,0.8,Boiler,19,178,9,70,163,No Point," 2,908,832 "
